POS,player_name,total,r4,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"Dunlap, Nick",-29,-2,1.45,-0.50,1.01,-0.32,0.19,3.99
2,"Bezuidenhout, Christiaan",-28,-7,1.84,0.23,2.04,-0.31,1.97,3.22
T3,"Thomas, Justin",-27,-4,1.28,1.12,1.19,0.73,3.03,2.97
T3,"Schauffele, Xander",-27,-7,2.54,1.51,0.44,0.31,2.26,2.97
T3,"Yu, Kevin",-27,-9,0.12,1.32,2.03,1.17,4.52,3.49
T6,"Burns, Sam",-25,-1,1.96,0.03,-0.47,-0.71,-1.15,2.47
T6,"Kim, Michael",-25,-7,0.83,0.35,0.68,-0.55,0.48,2.47
T6,"Hadwin, Adam",-25,-5,0.84,0.22,0.67,1.42,2.31,2.99
T9,"Griffin, Ben",-24,-6,4.64,-0.24,0.10,-0.70,-0.84,2.22
T9,"Mitchell, Keith",-24,-10,0.63,-0.21,3.40,0.82,4.01,2.74
T11,"Poston, J.T.",-23,-3,0.92,-0.82,-0.17,0.34,-0.64,2.56
T11,"Hisatsune, Ryo",-23,-7,1.33,1.36,-0.61,0.21,0.97,1.97
T11,"Bjork, Alexander",-23,-5,0.17,1.25,1.64,-1.25,1.64,1.97
T14,"Burgoon, Bronson",-22,-5,-2.66,0.83,3.38,0.73,4.95,2.31
T14,"Kim, Chan",-22,-5,2.03,-0.72,0.47,0.36,0.11,2.24
T14,"Stanger, Jimmy",-22,-3,2.58,0.25,-0.90,-0.28,-0.94,2.24
T17,"Hoge, Tom",-21,-7,2.12,-0.48,1.55,0.62,1.69,1.47
T17,"Scheffler, Scottie",-21,-7,-0.61,0.53,1.67,0.22,2.42,1.47
T17,"Sigg, Greyson",-21,-7,3.94,-0.45,1.55,-0.23,0.86,1.47
T17,"Young, Carson",-21,-7,0.35,0.58,2.42,0.93,3.93,2.06
T21,"Lee, Min Woo",-20,-5,-0.20,2.90,-1.09,1.03,2.84,1.74
T21,"Cole, Eric",-20,"E",-1.11,1.15,-1.45,-1.31,-1.61,1.81
T21,"Smalley, Alex",-20,-5,0.53,-1.01,1.13,0.49,0.61,1.74
T21,"Thompson, Davis",-20,-4,0.33,-0.74,2.02,0.20,1.48,1.22
T25,"Noren, Alex",-19,-2,-0.16,-0.35,0.21,-0.40,-0.54,0.97
T25,"Kim, Si Woo",-19,1,-0.99,-1.18,0.73,0.74,0.29,0.97
T25,"Finau, Tony",-19,-5,0.09,0.74,0.45,0.52,1.71,0.97
T25,"Im, Sungjae",-19,-1,0.56,-0.43,-0.47,0.48,-0.42,1.49
T25,"Lee, Kyoung-Hoon",-19,-6,0.77,-0.80,-0.09,-1.07,-1.97,0.97
T25,"Van Rooyen, Erik",-19,-5,-0.50,-0.17,1.67,-0.19,1.31,0.97
T25,"Eckroat, Austin",-19,-6,1.35,0.66,0.96,0.68,2.29,1.49
T25,"Johnson, Zach",-19,-2,1.61,-0.22,-1.84,0.26,-1.80,0.97
T25,"Phillips, Chandler",-19,-6,0.81,0.43,2.89,-0.84,2.47,1.56
T34,"Day, Jason",-18,-4,-0.60,0.50,0.18,0.73,1.41,0.72
T34,"Zalatoris, Will",-18,-4,0.24,0.33,0.51,0.20,1.04,1.31
T34,"Duncan, Tyler",-18,-3,-0.85,0.32,0.44,0.37,1.13,1.31
T34,"Whaley, Vince",-18,-3,0.30,0.69,0.06,0.26,1.01,0.72
T34,"Highsmith, Joe",-18,-2,-0.45,0.66,-0.52,-0.05,0.09,1.24
T39,"Berger, Daniel",-17,-4,-0.65,-0.47,1.60,0.81,1.93,1.06
T39,"Clark, Wyndham",-17,-3,-2.27,0.11,1.66,0.80,2.58,0.47
T39,"Griffin, Lanto",-17,-4,-2.68,0.01,3.19,0.76,3.96,1.06
T39,"Lower, Justin",-17,-1,-1.25,-0.21,0.73,0.36,0.89,0.99
T39,"Endycott, Harrison",-17,-1,-1.54,0.78,-1.17,0.22,-0.17,1.06
T39,"Barjon, Paul",-17,-2,0.48,-0.15,0.79,1.02,1.66,0.99
T39,"Bridgeman, Jacob",-17,-4,0.91,0.23,0.00,0.17,0.40,0.47
T39,"Pavon, Matthieu",-17,-2,1.72,0.43,-0.71,-0.29,-0.58,0.99
T47,"Kirk, Chris",-16,1,-0.09,-0.47,-0.51,-0.12,-1.10,0.22
T47,"Hubbard, Mark",-16,-2,0.46,-0.95,-0.05,-0.18,-1.18,0.81
T47,"Putnam, Andrew",-16,-3,0.52,0.24,-0.52,0.41,0.12,0.74
T47,"Hossler, Beau",-16,-3,0.20,0.73,-1.63,0.98,0.08,0.81
T47,"Kohles, Ben",-16,-3,-1.29,-0.45,-0.04,0.58,0.10,0.22
T52,"Reavie, Chez",-15,-1,0.41,-0.08,-1.45,-0.60,-2.13,0.56
T52,"Cantlay, Patrick",-15,4,-1.31,-0.40,-1.40,0.41,-1.38,-0.03
T52,"Jaeger, Stephan",-15,"E",0.36,-0.67,1.05,-0.10,0.28,0.49
T52,"Barnes, Erik",-15,"E",0.48,-0.64,-1.36,0.32,-1.68,-0.03
T56,"Hadley, Chesson",-14,"E",-1.09,-0.89,0.73,-1.45,-1.60,-0.28
T56,"Martin, Ben",-14,3,-3.33,0.68,-2.77,-0.30,-2.39,0.31
T56,"Nesmith, Matthew",-14,-1,-1.14,0.48,0.70,0.60,1.78,0.24
T56,"Greyserman, Max",-14,1,-1.68,0.03,0.26,0.03,0.32,0.24
T56,"Lin, Yuxin",-14,"E",0.04,-0.91,-3.08,1.24,-2.75,0.31
61,"Montgomery, Taylor",-13,1,-0.86,0.01,-0.03,-0.98,-1.00,-0.01
T62,"Villegas, Camilo",-12,2,-1.52,0.28,-3.95,0.47,-3.19,-0.19
T62,"Blair, Zac",-12,3,1.07,-0.41,-1.91,-0.60,-2.93,-0.26
T62,"Ryder, Sam",-12,2,-2.08,0.30,-2.73,-0.20,-2.63,-0.19
T65,"Stevens, Samuel",-11,2,-0.24,-0.80,-2.81,-0.86,-4.47,-0.44
T65,"Echavarria, Nicolas",-11,3,-0.31,-0.28,-0.02,-0.59,-0.89,-1.03
67,"Gordon, Will",-9,6,1.06,-1.29,0.03,-2.50,-3.76,-1.53

