player_name,sg_total,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,player id
"Scottie Scheffler",2.851,0.016,0.48,1.398,0.957,2.835,1
"Wyndham Clark",1.78,0.679,0.176,0.394,0.53,1.101,2
"Xander Schauffele",1.75,0.315,0.309,0.489,0.637,1.435,3
"Sahith Theegala",1.528,0.71,-0.035,0.4,0.453,0.819,4
"Akshay Bhatia",1.41,0.351,-0.017,0.727,0.349,1.059,5
"Alex Noren",1.194,0.187,0.363,0.32,0.323,1.007,6
"Billy Horschel",1.171,0.578,0.141,0.145,0.307,0.593,7
"Ludvig Åberg",1.144,0.12,-0.042,0.531,0.535,1.025,8
"Hideki Matsuyama",1.14,-0.395,0.712,0.484,0.338,1.535,9
"Si Woo Kim",1.026,-0.335,0.331,0.473,0.558,1.361,10
"Jordan Spieth",1.003,0.589,0.124,-0.052,0.341,0.413,11
"Doug Ghim",0.999,0.111,0.079,0.425,0.383,0.888,12
"Matthieu Pavon",0.988,0.502,-0.331,0.607,0.211,0.487,13
"Maverick McNealy",0.963,0.383,0.352,-0.223,0.45,0.58,14
"Stephan Jaeger",0.957,0.065,0.392,0.123,0.377,0.891,15
"Brian Harman",0.953,0.596,0.193,0.082,0.082,0.357,16
"Chris Kirk",0.925,-0.383,0.321,0.41,0.576,1.308,17
"Tom Hoge",0.919,0.407,-0.312,1.035,-0.212,0.512,18
"Russell Henley",0.906,0.311,0.305,0.217,0.072,0.595,19
"Rory McIlroy",0.905,0.045,-0.047,0.12,0.787,0.861,20
"Christiaan Bezuidenhout",0.885,0.647,-0.048,0.377,-0.092,0.237,21
"Keith Mitchell",0.865,-0.358,-0.229,0.66,0.792,1.223,22
"Tony Finau",0.848,-0.468,0.235,0.773,0.308,1.316,23
"Austin Eckroat",0.839,-0.138,0.144,0.51,0.353,0.977,24
"Andrew Novak",0.811,-0.118,0.337,0.628,-0.036,0.929,25
"Adam Scott",0.802,0.565,-0.153,0.097,0.292,0.237,26
"Denny McCarthy",0.775,0.717,0.355,0.064,-0.361,0.058,27
"Shane Lowry",0.763,-0.343,-0.025,0.87,0.261,1.106,28
"Erik van Rooyen",0.762,0.356,-0.187,0.358,0.235,0.406,29
"Harris English",0.73,0.458,0.243,-0.2,0.228,0.272,30
"Jason Day",0.719,0.493,0.373,-0.38,0.231,0.226,31
"Justin Thomas",0.704,-0.431,0.32,0.712,0.102,1.135,32
"Nate Lashley",0.693,0.039,0.285,0.34,0.028,0.653,33
"Mark Hubbard",0.675,0.158,0.146,0.491,-0.121,0.517,34
"Sam Burns",0.658,0.379,-0.233,0.182,0.328,0.279,35
"Aaron Rai",0.645,-0.067,0.029,0.499,0.185,0.712,36
"Matt Fitzpatrick",0.619,0.443,0.022,0.119,0.034,0.175,37
